convex/backlog.ts	874	literal_default	    const snoozedUntil = args.until || now + Math.max(5, Math.round(args.minutes ?? 24 * 60)) * 60 * 1000;
convex/backlog.ts	1151	literal_default	    const limit = clamp(Math.round(args.limit ?? 220), 10, 450);
convex/backlog.ts	1202	literal_default	    const limit = clamp(Math.round(args.limit ?? 280), 10, 500);
convex/calls.ts	10	fallback_keyword	const CALL_FALLBACK_SEND_EVENT_TYPE = "inbound.call.rejected_with_fallback";
convex/calls.ts	11	fallback_keyword	const DEFAULT_CALL_FALLBACK_LOOKBACK_MS = 24 * 60 * 60 * 1000;
convex/calls.ts	12	fallback_keyword	const MAX_CALL_FALLBACK_LOOKBACK_MS = 14 * 24 * 60 * 60 * 1000;
convex/calls.ts	14	fallback_keyword	function normalizeTimestampMs(raw: number | undefined, fallbackMs: number) {
convex/calls.ts	15	literal_default	  if (!Number.isFinite(raw) || (raw ?? 0) <= 0) {
convex/calls.ts	16	fallback_keyword	    return fallbackMs;
convex/calls.ts	30	fallback_keyword	  const fallback = 2 * 60 * 1000;
convex/calls.ts	32	fallback_keyword	    return fallback;
convex/calls.ts	62	literal_default	  if (!Number.isFinite(durationMs) || (durationMs as number) < args.minDurationMs) {
convex/calls.ts	194	literal_default	      const nextBarrierAt = Math.max(thread.callReplyBarrierAt || 0, endedAt);
convex/calls.ts	219	literal_default	      isGroup: args.isGroup ?? session?.isGroup ?? (threadKind === "group" ? true : undefined),
convex/calls.ts	252	literal_default	      detail: `callId=${callId} from=${fromJid || "unknown"} status=${args.status} durationMs=${durationMs ?? -1} self=${sawSelfEvent} peer=${sawPeerEvent}`,
convex/calls.ts	268	fallback_keyword	export const hasRecentFallbackSend = query({
convex/calls.ts	276	fallback_keyword	      Math.max(60_000, Math.min(args.withinMs ?? DEFAULT_CALL_FALLBACK_LOOKBACK_MS, MAX_CALL_FALLBACK_LOOKBACK_MS)),
convex/calls.ts	279	fallback_keyword	    const [fallbackEvent] = await ctx.db
convex/calls.ts	282	fallback_keyword	        q.eq("threadId", args.threadId).eq("eventType", CALL_FALLBACK_SEND_EVENT_TYPE).gte("createdAt", cutoff),
convex/calls.ts	287	fallback_keyword	      hasRecent: Boolean(fallbackEvent),
convex/calls.ts	288	fallback_keyword	      lastSentAt: fallbackEvent?.createdAt,
convex/calls.ts	300	literal_default	    const limit = Math.round(Math.max(1, Math.min(args.limit ?? 50, 200)));
convex/chatTools.ts	99	literal_default	    learnedEmojiAllowlist: (learnedEmojiProfile?.topEmojis || []).slice(0, 12),
convex/chatTools.ts	100	literal_default	    learnedEmojiCategoryHints: (learnedEmojiProfile?.categoryHints || []).slice(0, 6),
convex/chatTools.ts	176	fallback_keyword	function clampRound(value: number | undefined, fallback: number, min: number, max: number) {
convex/chatTools.ts	178	fallback_keyword	    return fallback;
convex/chatTools.ts	247	literal_default	  const message = error instanceof Error ? error.message : String(error || "Unknown error");
convex/chatTools.ts	397	literal_default	      ? (args.modelHints || []).map(parseRouterHint).filter((tool): tool is RouterToolName => Boolean(tool))
convex/chatTools.ts	474	fallback_keyword	function slugify(input: string, fallback = "item") {
convex/chatTools.ts	480	fallback_keyword	  return normalized || fallback;
convex/chatTools.ts	519	literal_default	  const secondPart = Number(parts[6] || 0);
convex/chatTools.ts	520	literal_default	  const meridiem = (parts[7] || "").toUpperCase();
convex/chatTools.ts	570	literal_default	      const dateText = bracketMatch ? bracketMatch[1] : dashMatch?.[1] || "";
convex/chatTools.ts	571	literal_default	      const senderName = normalizeSpace((bracketMatch ? bracketMatch[2] : dashMatch?.[2]) || "Unknown");
